Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Forlin,,6,50%,3,2.5,2.7,5.5,7.2,383,64.20%,23.3,489,1.08,0.45,0.13,0.21,-1071,-16,-243,16.70%,0%,0,1
Fornoreason,,18,22.20%,1.4,1.4,3.8,3.9,7.6,351,36.30%,19.1,445,0.79,0.24,0.19,0.05,-649,-10,-215,5.60%,16.70%,0,9
Foxie,,2,50%,3.5,6,4,8,8.1,410,60.90%,23.1,619,0.78,0.22,0.14,0.1,800,19,188,50%,0%,0,1
Frappii,,11,36.40%,2.7,3.9,3.7,6,9.2,433,60.90%,21.8,602,1.02,0.32,0.3,0.11,-512,-6,-292,18.20%,9.10%,0,1
FreakyFredd,,2,0%,1.3,0.5,4,4.5,1,222,25%,5.9,141,2.62,1.17,0.19,0.16,-358,1,614,0%,0%,0,-
Freazy,,11,27.30%,1.7,4.7,5.3,4.2,7.5,400,56.30%,22,538,1.37,0.61,0.21,0.22,-874,-11,-663,9.10%,54.50%,0,6
FreshKiller,,7,85.70%,3.9,4.1,3.1,8,8.1,409,62.30%,23.5,635,0.89,0.26,0.21,0.07,-24,-6,66,0%,14.30%,0,3
Fresskowy,,26,38.50%,3.2,3.1,2.4,4.6,9.1,412,53.70%,21.7,510,1.21,0.44,0.23,0.21,-164,-1,-108,11.50%,15.40%,0,9
Frog,,29,37.90%,2.3,1.6,2.6,4.6,7.7,346,54.10%,18.6,433,1.01,0.4,0.16,0.22,-436,-9,-291,6.90%,10.30%,0,2
Frost,,21,38.10%,3.6,4,3.8,9.6,5.7,356,76.60%,16.1,424,1.25,0.23,0.28,0.21,197,-3,-20,28.60%,14.30%,0,5
Frostsize,,34,61.80%,3.6,3.8,2.7,6,8.8,416,59.80%,25.9,630,1.01,0.37,0.21,0.13,-24,1,-101,5.90%,8.80%,0,12
Frozenn1,,13,46.20%,1.9,0.8,5.2,9.2,1.2,241,71%,7.6,173,2.76,1.29,0.33,0.32,-141,-2,-145,23.10%,0%,0,-
